"ID","Date","UTC","Age","Callsign","SNR (db)","Mode","Band","QRG (MHz)","Country","DXCC","Locator","QRB (km)"
"227","2022-04-08","16:48:27","30min","SV8KOA","-19","FT8","20m","14.0751","Greece","SV","KM07KT","5550"
"208","2022-04-08","16:50:27","28min","EU7X","-17","FT8","20m","14.0751","Belarus","EU","KO43HH","5481"
"255","2022-04-08","16:42:27","36min","SV3ISC","-17","FT8","20m","14.0751","Greece","SV","KM17IO","5387"
"28","2022-04-08","17:14:31","4min","UA3LSX","-13","FT8","20m","14.0751","Russia-EU","UA","KO65IB70","5347"
"311","2022-04-08","16:25:31","53min","SV1UG","-12","FT8","20m","14.0751","Greece","SV","KM17VX","5299"
"270","2022-04-08","16:37:28","41min","LZ4UX","-20","FT8","20m","14.0751","Bulgaria","LZ","KN23TB48","5272"
"392","2022-04-08","13:15:30","4h:03m","YO8SEP","-15","FT8","20m","14.0750","Romania","YO","KN36RT","5264"
"376","2022-04-08","13:47:31","3h:31m","YB7WBC","-16","FT8","20m","14.0751","Indonesia","YB","OI88KS","5184"
"340","2022-04-08","15:39:29","1h:39m","YC3DOC","-17","FT8","20m","14.0750","Indonesia","YB","OI61HX","5172"
"7","2022-04-08","17:16:15","2min","UA3245SWL","-17","FT8","20m","14.0750","Russia-EU","UA","KO85NT","5169"
"139","2022-04-08","17:00:29","18min","RX3XR","-12","FT8","20m","14.0751","Russia-EU","UA","KO74UJ","5146"
"415","2022-04-08","11:04:29","6h:14m","YB3COY","-15","FT8","20m","14.0751","Indonesia","YB","OI62IM","5145"
"378","2022-04-08","13:45:33","3h:33m","RO2X","-20","FT8","20m","14.0751","Russia-EU","UA","KO74XM","5141"
"149","2022-04-08","17:00:27","18min","RX3DPK","-16","FT8","20m","14.0751","Russia-EU","UA","KO85UT","5140"
"137","2022-04-08","17:00:29","18min","RZ3AV","-14","FT8","20m","14.0750","Russia-EU","UA","KO85US07","5137"
"168","2022-04-08","16:58:26","20min","VITALIYSH","-19","FT8","20m","14.0751","unknown","-","KO85US","5137"
"52","2022-04-08","17:09:29","9min","R8XF","-13","FT8","20m","14.0749","Russia-EU","UA","LP51JQ","5134"
"166","2022-04-08","16:58:27","20min","UB8QBG","-18","FT8","20m","14.0751","Russia-EU","UA","KO85VS","5133"
"180","2022-04-08","16:55:29","23min","UB3ATK","-18","FT8","20m","14.0750","Russia-EU","UA","KO85WQ","5123"
"422","2022-04-08","10:41:30","6h:37m","YE3BER","-18","FT8","20m","14.0751","Indonesia","YB","OI62FM","5123"
"218","2022-04-08","16:48:30","30min","R2DUO","-17","FT8","20m","14.0753","Russia-EU","UA","KO85SI","5117"
"371","2022-04-08","13:54:29","3h:24m","UA3NFG","-18","FT8","20m","14.0751","Russia-EU","UA","LO28SJ","5005"
"83","2022-04-08","17:05:27","13min","R3PLN","-20","FT8","20m","14.0751","Russia-EU","UA","KO83TO","4993"
"364","2022-04-08","14:07:29","3h:11m","YC2WXV","-16","FT8","20m","14.0751","Indonesia","YB","OI52EF87","4955"
"259","2022-04-08","16:40:30","38min","BU2FF","-17","FT8","20m","14.0751","Taiwan","BV","PL05RD","4939"
"373","2022-04-08","13:52:29","3h:26m","YB2HAF","-20","FT8","20m","14.0751","Indonesia","YB","OI52EV","4911"
"171","2022-04-08","16:57:30","21min","R3TIT","-16","FT8","20m","14.0751","Russia-EU","UA","LO16WI","4901"
"315","2022-04-08","16:18:31","1h:00m","YC2CZF","-18","FT8","20m","14.0750","Indonesia","YB","OI42XO","4893"
"105","2022-04-08","17:03:29","15min","RA3TE","-18","FT8","20m","14.0751","Russia-EU","UA","LO26AH","4890"
"174","2022-04-08","16:57:27","21min","RA3TAT","-17","FT8","20m","14.0751","Russia-EU","UA","LO26AH","4890"
"404","2022-04-08","12:04:31","5h:14m","YC2KJC","-17","FT8","20m","14.0751","Indonesia","YB","OI42WP","4883"
"408","2022-04-08","11:50:29","5h:28m","FR4PG","-13","FT8","20m","14.0751","Reunion Island","FR","LG78TQ","4864"
"383","2022-04-08","13:24:34","3h:54m","RZ3ZZ","-17","FT8","20m","14.0751","Russia-EU","UA","KO80GP","4863"
"320","2022-04-08","16:16:29","1h:02m","UA3GPM","-8","FT8","20m","14.0751","Russia-EU","UA","KO92QO","4832"
"278","2022-04-08","16:33:30","45min","RO3ZD","-19","FT8","20m","14.0751","Russia-EU","UA","KO80LM","4830"
"319","2022-04-08","16:16:30","1h:02m","R3GW","-18","FT8","20m","14.0751","Russia-EU","UA","KO92TO38BP","4819"
"391","2022-04-08","13:15:30","4h:03m","YC7VAD","-12","FT8","40m","7.0748","Indonesia","YB","OI88","4780"
"73","2022-04-08","17:07:27","11min","R9JAA","-19","FT8","20m","14.0751","Russia-AS","UA9","MP40MX","4742"
"362","2022-04-08","14:07:30","3h:11m","RD9D","-16","FT8","20m","14.0751","Russia-EU","UA","LO99XS","4727"
"372","2022-04-08","13:53:29","3h:25m","R7KM","-12","FT8","20m","14.0750","Russia-EU","UA","KN74BX","4709"
"234","2022-04-08","16:47:27","31min","RA9CIN","-20","FT8","20m","14.0751","Russia-EU","UA","MO09HO","4697"
"354","2022-04-08","14:22:29","2h:56m","RX9CET","-20","FT8","20m","14.0751","Russia-EU","UA","MO09HO","4697"
"81","2022-04-08","17:05:29","13min","YF1ANL","-17","FT8","20m","14.0751","Indonesia","YB","OI33XD","4681"
"388","2022-04-08","13:19:29","3h:59m","YB3OK","-16","FT8","20m","14.0751","Indonesia","YB","OI52","4681"
"366","2022-04-08","14:05:26","3h:13m","YB1BZV","1","FT8","20m","14.0750","Indonesia","YB","OI33VA07","4675"
"324","2022-04-08","16:16:29","1h:02m","R4PEF","-19","FT8","20m","14.0752","Russia-EU","UA","LO45GU75","4671"
"380","2022-04-08","13:45:27","3h:33m","3B8BAR","-16","FT8","20m","14.0751","Mauritius","3B8","LG89RU90","4666"
"275","2022-04-08","16:34:29","44min","YB1HK","-18","FT8","20m","14.0750","Indonesia","YB","OI33TA85","4660"
"426","2022-04-08","09:59:30","7h:19m","YB1HR","-20","FT8","20m","14.0751","Indonesia","YB","OI33TB","4657"
"424","2022-04-08","10:25:30","6h:53m","YB1LUE","-16","FT8","20m","14.0750","Indonesia","YB","OI33TC","4655"
"284","2022-04-08","16:30:31","48min","R2ZDO","-18","FT8","20m","14.0751","Russia-EU","UA","KN99NN","4642"
"262","2022-04-08","16:39:30","39min","UA4PCF","-16","FT8","20m","14.0751","Russia-EU","UA","LO45OS","4638"
"318","2022-04-08","16:16:30","1h:02m","RØSAU","-11","FT8","20m","14.0751","Russia-AS","UA9","OO04NJ","4615"
"265","2022-04-08","16:39:29","39min","US7IS","-8","FT8","20m","14.0751","Ukraine","UR","KN98BB","4609"
"425","2022-04-08","10:05:31","7h:13m","YB1LBW","-19","FT8","20m","14.0748","Indonesia","YB","OI33LA","4602"
"165","2022-04-08","16:59:15","19min","RN4WA","-16","FT8","20m","14.0752","Russia-EU","UA","LO66PU","4599"
"76","2022-04-08","17:05:30","13min","TA4/G8SCU","-16","FT8","20m","14.0751","Asiatic Turkey","TA","KM56VO","4575"
"335","2022-04-08","16:13:29","1h:05m","R4LBP","-15","FT8","20m","14.0751","Russia-EU","UA","LO44DG","4542"
"389","2022-04-08","13:17:30","4h:01m","YBØKTT","-14","FT8","20m","14.0750","Indonesia","YB","OI33KT","4541"
"41","2022-04-08","17:12:31","6min","YB1TDL","-15","FT8","20m","14.0750","Indonesia","YB","OI33IQ","4535"
"286","2022-04-08","16:29:29","49min","YCØJOY","-19","FT8","20m","14.0751","Indonesia","YB","OI33IU","4523"
"186","2022-04-08","16:51:30","27min","YC1WEU","-14","FT8","20m","14.0752","Indonesia","YB","OI33GS","4514"
"124","2022-04-08","17:01:29","17min","BD3OOX","-19","FT8","20m","14.0751","China","BY","OM78GD","4487"
"294","2022-04-08","16:28:29","50min","UBØABG","-8","FT8","20m","14.0751","Russia-AS","UA9","NO66KE","4482"
"156","2022-04-08","16:59:30","19min","5B4ALJ","-13","FT8","20m","14.0751","Cyprus","5B","KM64EU","4477"
"397","2022-04-08","12:30:31","4h:48m","UAØAV","-9","FT8","20m","14.0751","Russia-AS","UA9","NO65JX","4459"
